date,theftType
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/8/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/9/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/10/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/11/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/12/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
4/13/2019,ROBBERY
